author	author channel	cid	comment	commentsCount	hasCreatorHeart	pageUrl	publishedTimeText	replyCount	replyToCid	title	type	videoId	voteCount
@user-cx7kc2gi5i	FALSE	Ugxbi4UGpOwB93RU2dB4AaABAg	Ravisharmamyfavouritehero????	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	6 months ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	0
@user-cx7kc2gi5i	FALSE	UgzOVdu-SfpfKzqc7x54AaABAg	Myfavouriteserial????	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	6 months ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	0
@syamdowarah6341	FALSE	UgwNpUDbjvn_jJtk2Md4AaABAg	Full video diba	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	2 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	0
@pompyadhikary3450	FALSE	Ugzonu1nJI9JIJye33l4AaABAg	Eman sundor	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	2 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	0
@Shaharul_Islam	FALSE	UgwkoaHHfDdle0WThWh4AaABAg	Please upload full movie	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	3 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	0
@birantabarman2086	FALSE	UgygZ0hU0RueyAJqGlN4AaABAg	One of my favorite movie	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	3 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	0
@bishaldeka7037	FALSE	Ugz7NVuoCp-xLCIR3nl4AaABAg	"Ravi Sharma my favourite ...
Love u..."	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	4 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	0
@swapnaliborokitchen9166	FALSE	Ugypq44BrsEIeHL96VN4AaABAg	"Birate dhunia kahini ,bohut val lagil sai"	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	4 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	2
@simideka6899	FALSE	Ugw_WcwJGqiOIbvxd894AaABAg	????????????	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	4 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	0
@v1keebiriwX_sVS	FALSE	UgyOHctbZ7gqJF_UHEl4AaABAg	"?? ???? ????? ????
????? topic ? ???? ????? ??? ???? ??????? ??? 
???? ?????? ??? ........
??????? ?????? ??? ??????? ?? ! 
?????? ?????? ??? ?? ??????? ??? ?????? ??? .......
??? ?????? ???? ????? ???????? ????? ....... 
?????? ????? ?? ???? ???? ???? ??? .......... 
Action , Science , Fiction , Fantasy etc etc.......
?????? ???? ?????? ???? ??????? ???........
????? ???????? ????? ?? ???? , ?????? ??? ??? ??? ??? ???? ?? ?????? ???? ????? ??? ??.........

( ??? ??? ???? ??????? ??? ???? , ??? ???? ????? ???? ? ?? ???? ??? ??? ??? ???? ? ??? ?????? ?????? ????????  ?????? ? )"	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	4 years ago (edited)	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	4
@sidharthadekaboruahdekabor2284	FALSE	UgymD1lnDFExIkBZbh94AaABAg	Flim khon youtube t aridiyok	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	5 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	0
@sidharthadekaboruahdekabor2284	FALSE	UgyLW5PHOILSVR1gu3F4AaABAg	Flim khon diyok na please	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	5 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	1
@srijyotiprasadnath.1390	FALSE	UgwA1SRm1oRBmX4oWNx4AaABAg	Nice movie ... movie khn vl lgbo sai	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	6 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	0
@allfun9288	FALSE	Ugy5xWDN99HMlLeF4214AaABAg	rabi da..moi aponk birat vl pao	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	6 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	0
@pinkuholder6947	FALSE	UgzWC91Axa07uC02ZVx4AaABAg	etia u bahor jeurar poribex dekhuaboloi erai nai ne..nosole	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	6 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	0
@kangkanroy4948	FALSE	Ugy2_779ceAwHoq6GU54AaABAg	trailer tu birat boring...	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	6 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	1
@henobchetia4365	FALSE	Ugw1pvvdXJ05dOgdK5t4AaABAg	__ Trailer ?? ??????? ???	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	6 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	0
@TribeniVlog	FALSE	UgzE47scZ_Hf7ztxBTB4AaABAg	Why does Assamese Movie seems to be so dramatic. Why can’t the acting to be real....We never be the same in real life. Dialogue needs to be more realistic	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	6 years ago (edited)	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	0
@Rubyborah964	FALSE	UgzE8qHtyCrBLJzY4FN4AaABAg	Barsa ba ??	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	6 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	1
@bikiranbaishya7076	FALSE	Ugz-cv2E3PZca6gkd494AaABAg	Same Stereotypical story I guess..	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	6 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	0
@manojdeka8490	FALSE	UgzCCD0dlX7S247j4P94AaABAg	???????	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	6 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	1
@sonalideka7345	FALSE	UgwiWs4sJ5eyo1506Ix4AaABAg	Ravi sharma is Most powerdul hero in assamese Movie	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	6 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	3
@jonakentertainmentassam2001	FALSE	Ugyzu2QlmtrzntC_n6p4AaABAg	?????? ????? ???	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	6 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	1
@user-ks1wb6uv7h	FALSE	Ugx-g1Q8S2OlCI7XL0F4AaABAg	"Rabi sharma apuni ei penpenia cinema bur koratke vaal scipt select korok action , love sob thoka"	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	6 years ago	1		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	1
@hemantabaishya4805	FALSE	UgxGO1zb5K0PY0S8cgt4AaABAg	zubeen da r gaan ata ase bt sab paru :-gaan 2 r karone so next time zubeen dar filim 10 cr jbo	48	FALSE	https://youtu.be/_P5JKwd1no0?si=qolgcIcdlfvqR8Bq	6 years ago	0		Tumi Aahibaane | Official Trailer | September 22 | 2017 | Assamese Feature Film |	comment	_P5JKwd1no0	0
