"author","authorIsChannelOwner","cid","comment","commentsCount","hasCreatorHeart","pageUrl","publishedTimeText","replyCount","replyToCid","title","type","videoId","voteCount"
"@Baate-Ghaate1989","false","UgzPToyYXNG8kIgkhBZ4AaABAg","Wow... Song ❤","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","4 months ago (edited)","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","0"
"@aaganedits6709","false","UgyZew4LT-Ob2COSuId4AaABAg","Mur baar naam mainee baaaaaaaaaa","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","4 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","0"
"@aaganedits6709","false","Ugy3dhaCkxrGYXNeAg94AaABAg","Boring 😗","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","4 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","0"
"@bhaskargogoi5413","false","UgxqEvK1cGQy_gApB254AaABAg","watching this rn...because Bishmoy Devogoswami recommended","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","4 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","0"
"@Amazing_4uhh","false","UgywMScRZlbe3tQ5sjB4AaABAg","Vild pg r pora Kun Kun ahisa like kora❤","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","4 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","0"
"@arpanadas868","false","UgxrXqAv-bO-DkEU90p4AaABAg","Hello everyone.. mur nickname Maine... 😂","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","4 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","1"
"@samirtube6613","false","Ugz4JEzyb3Sq-BZeEAp4AaABAg","Promotion নকৰাকৈ relese dibo neki","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","5 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","0"
"@m-one1m32","false","UgwhNboWnGKoq0gRhQl4AaABAg","Vild pg.... Parama da'r Maini'k yat a ahi bisari palu","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","5 months ago (edited)","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","1"
"@ilovepapamaa8423","false","UgzxV1A49r7BbKBpoJN4AaABAg","Val laghibo Sai ❤","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","5 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","1"
"@explorelove123","false","UgxlBJYfHW2DdUxQpvp4AaABAg","From vild pg ❤😂","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","5 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","1"
"@pulkikhushi6413","false","UgyhvmA6gRUFTJ_myFd4AaABAg","Awaiting","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","5 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","1"
"@xoulff753","false","Ugyd2CjphStiWF3OnSJ4AaABAg","Finding nemo","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","5 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","2"
"@Chromosome-12","false","UgwVDsejo-LWSmvwS8p4AaABAg","Plz release this song 🙂🙂","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","5 months ago","1",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","2"
"@Shortcutclip860","false","Ugwv6io57s8x8NZdgKl4AaABAg","দেৱ গোস্বামী লগত কোনে কোনে মাইনী বাক বিচাৰি যাবা like kora😂😂😂😂😂","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","5 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","8"
"@AssameseShorts-খবৰ","false","UgyzHpedBR7iUKm-Wop4AaABAg","Waiting 🦸‍♀️","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","5 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","1"
"@khatiassam12","false","Ugy06CrI6pHnKehEdRN4AaABAg","Ki hol aitu trailer ney kiba blg flim khbr proti intrest Tu anbo lgbo tralior Tu a","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","5 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","2"
"@bedantube","false","UgzpKH5Fm3A42jV5oL54AaABAg","Election or dina e release","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","5 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","0"
"@চিকাৰীশম্ভু১২৩","false","UgyF3y6UU6xXJLUumYV4AaABAg","After ojaantric","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","5 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","1"
"@JyotiRupamDutta","false","UgzVJJewfaoiP-rWHeh4AaABAg","❤❤❤  moza","33","false","https://youtu.be/e0Pn04fO_T0?si=p1xwuUa5LbB0iT17","5 months ago","0",,"Finding Maini | Official Trailer | Assamese Film 2024 | Atanu M  Bonny D  Dipankar K  Darathie B","comment","e0Pn04fO_T0","1"
